Q,semantic_similarity,cola_score,silhouette_score
ASIBG19,0.729036346077919,0.9298397911091647,0.2796650738097154
ASIBG22,0.584840402007103,0.9364561960101128,0.30349528488631433
ASIBG8,0.6682812869548798,0.8991772470374904,0.20768270598581204
ASIBI1,0.6535881012678146,0.8304720968008041,0.2158035003544333
ASIBI12,0.6828614473342896,0.765852864831686,0.19472057974109283
ASIBI13,0.7948198020458221,0.9329137591024241,0.29872204420658255
ASIBI6,0.5316726267337799,0.9532410961886251,0.2637567548797681
ASIBP17,0.8080936074256897,0.9095605413118997,0.21380215768630684
ASIBP20,0.7784975469112396,0.9623672676583133,0.28422926255286884
ASIBP3,0.7921478450298309,0.9602121971547604,0.3029724639625503
ASIBP9,0.7095741927623749,0.960340727120638,0.2161445738031314
ASIH10,0.8352727591991425,0.9577495492994784,0.525665135624317
ASIH11,0.8459136784076691,0.9396772446731725,0.48506680532143664
ASIH14,0.8828210085630417,0.9641424318154654,0.6879726854654459
ASIH15,0.8147988170385361,0.9560029817124209,0.31058378918812823
ASIH16,0.8583043664693832,0.9515365883708,0.658104800260984
ASIH18,0.793815866112709,0.8667304143309593,0.4885374204470561
ASIH2,0.848712831735611,0.9581566229462624,0.6363765675431261
ASIH21,0.8693327903747559,0.9256824875871339,0.7177553314429063
ASIH4,0.8667849749326706,0.5458476791779201,0.6072800062023677
ASIH5,0.8337044417858124,0.9090023611982665,0.6692721224748172
ASIH7,0.8650637120008469,0.9374431483447552,0.4276229589102933
